
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2025-06-20,WN3835,"Philadelphia / Philadelphia (PHL/KPHL)","Chicago / Chicago Midway (MDW/KMDW)",20:15:00,21:25:00,02:10:00,"Southwest Airlines (WN/SWA)","Boeing 737-800 (B738)",N8559Q,,0,1,1,Nonrev,2311,1785,736,231
2025-06-20,,"Chicago / Chicago Midway (MDW/KMDW)","Philadelphia / Philadelphia (PHL/KPHL)",09:50:00,12:50:00,02:00:00,"Southwest Airlines (WN/SWA)"," ()",,,2,1,1,Revenue,1785,2311,736,0
2025-06-15,WN1073,"Chicago / Chicago Midway (MDW/KMDW)","Cincinnati / Northern Kentucky Int (CVG/KCVG)",09:05:00,11:15:00,01:10:00,"Southwest Airlines (WN/SWA)","Boeing 737 MAX 8 (B38M)",N8805L,,0,1,1,Nonrev,1785,646,736,2123
2025-06-15,WN1138,"Cincinnati / Northern Kentucky Int (CVG/KCVG)","Chicago / Chicago Midway (MDW/KMDW)",16:10:00,16:20:00,01:10:00,"Southwest Airlines (WN/SWA)","Boeing 737 MAX 8 (B38M)",N8852Q,,0,1,1,Nonrev,646,1785,736,2123
2025-05-22,UA2362,"Chicago / O'Hare (ORD/KORD)","Newark / Liberty International (EWR/KEWR)",19:35:00,22:59:00,02:24:00,"United Airlines (UA/UAL)","Boeing 737-900ER (B739)",N38459,34E,2,1,1,Revenue,2205,851,808,2069
2025-05-26,,"New York / La Guardia (LGA/KLGA)","Chicago / Chicago Midway (MDW/KMDW)",00:00:00,00:00:00,01:49:00,"Southwest Airlines (WN/SWA)"," ()",,,0,1,1,Revenue,1605,1785,736,0
2025-04-21,UA959,"London / Heathrow (LHR/EGLL)","Chicago / O'Hare (ORD/KORD)",11:05:00,14:10:00,09:05:00,"United Airlines (UA/UAL)","Boeing 767-300 (B763)",N662UA,,0,1,1,Revenue,1618,2205,808,244
2025-04-17,BA8456,"Amsterdam / Schiphol (AMS/EHAM)","London / London City (LCY/EGLC)",18:15:00,18:25:00,01:10:00,"British Airways (BA/BAW)","Embraer ERJ-190 (E190)",G-LCAF,,0,1,1,Nonrev,122,1581,113,655
2025-04-12,BA438,"London / Heathrow (LHR/EGLL)","Amsterdam / Schiphol (AMS/EHAM)",12:50:00,15:10:00,01:20:00,"British Airways (BA/BAW)","Airbus A320-200 (A320)",G-EUUE,,0,1,1,Nonrev,1618,122,113,2059
2025-04-11,UA14,"Newark / Liberty International (EWR/KEWR)","London / Heathrow (LHR/EGLL)",18:45:00,07:15:00,07:30:00,"United Airlines (UA/UAL)","Boeing 767-300 (B763)",N685UA,,0,1,1,Revenue,851,1618,808,244
